Date,Open
1/2/2015 16:00:00,27.05
1/9/2015 16:00:00,26.36
1/16/2015 16:00:00,24.96
1/23/2015 16:00:00,25.64
1/30/2015 16:00:00,27.06
2/6/2015 16:00:00,26.71
2/13/2015 16:00:00,26.55
2/20/2015 16:00:00,27.47
2/27/2015 16:00:00,26.95
3/6/2015 16:00:00,28.34
3/13/2015 16:00:00,28.57
3/20/2015 16:00:00,27.8
3/27/2015 16:00:00,28.3
4/2/2015 16:00:00,28.01
4/10/2015 16:00:00,26.92
4/17/2015 16:00:00,27.4
4/24/2015 16:00:00,26.69
5/1/2015 16:00:00,28.62
5/8/2015 16:00:00,27.55
5/15/2015 16:00:00,27.43
5/22/2015 16:00:00,27.21
5/29/2015 16:00:00,27.61
6/5/2015 16:00:00,27.45
6/12/2015 16:00:00,27.48
6/19/2015 16:00:00,27.14
6/26/2015 16:00:00,27.97
7/2/2015 16:00:00,27.34
7/10/2015 16:00:00,27.11
7/17/2015 16:00:00,27.98
7/24/2015 16:00:00,34.45
7/31/2015 16:00:00,32.58
8/7/2015 16:00:00,32.88
8/14/2015 16:00:00,33.35
8/21/2015 16:00:00,34.4
8/28/2015 16:00:00,30.03
9/4/2015 16:00:00,32.72
9/11/2015 16:00:00,32.05
9/18/2015 16:00:00,32.78
9/25/2015 16:00:00,33.28
10/2/2015 16:00:00,31.95
10/9/2015 16:00:00,33.08
10/16/2015 16:00:00,33.46
10/23/2015 16:00:00,34.7
10/30/2015 16:00:00,36
11/6/2015 16:00:00,36.89
11/13/2015 16:00:00,37.93
11/20/2015 16:00:00,37.01
11/27/2015 16:00:00,38.87
12/4/2015 16:00:00,38.59
12/11/2015 16:00:00,39
12/18/2015 16:00:00,37.56
12/24/2015 16:00:00,38.15
12/31/2015 16:00:00,38.5
1/8/2016 16:00:00,38.11
1/15/2016 16:00:00,36.6
1/22/2016 16:00:00,36.01
1/29/2016 16:00:00,37.19
2/5/2016 16:00:00,38.56
2/12/2016 16:00:00,34.38
2/19/2016 16:00:00,35.93
2/26/2016 16:00:00,36.48
3/4/2016 16:00:00,36.05
